n_points,r2,mse,mae,mape
11,0.5974699153415155,0.006466655501243838,0.06640676406917312,0.49825130719052957
12,0.5933321124497959,0.006533129404319933,0.0640190831804767,0.5050123338204556
13,0.6604159099608831,0.005455426582212981,0.05341990023521656,0.338521355467639
14,0.6354276081845931,0.005856864251860666,0.05645307759313314,0.3765931315883662
15,0.6511226676477702,0.005604722743714724,0.05536044630811094,0.3867348583461189
16,0.6460453040680832,0.0056862907118636246,0.056852759296323295,0.37361494843101833
17,0.6398122102769402,0.005786425513684615,0.05708269630547637,0.37413118605006673
18,0.6670671974962631,0.005348573487822504,0.05523700006882336,0.37847241934807807
19,0.6675530114031968,0.00534076887571129,0.055401228056191236,0.38369436800002427
20,0.6665460688648276,0.005356945431833067,0.05572285633525899,0.3863770839984269
21,0.7174338704201282,0.0045394316746862375,0.049383665128373076,0.35339831213770934
22,0.71622554139033,0.004558843509641347,0.04947614243245572,0.35968182729317977
23,0.7125156966425911,0.00461844225483099,0.04992682500666965,0.3659049161756818
24,0.7151967989237704,0.00457537028213435,0.049711492628816384,0.36309454053332774
25,0.8058712649637079,0.0031186828021488745,0.036828314939770325,0.24486933824150306
26,0.7964544624076606,0.0032699639619281594,0.03776647813144871,0.2593952878740084
27,0.7960659994421166,0.0032762046288221545,0.03708607973186144,0.25649306900608443
28,0.7944348660034829,0.003302408826784531,0.037166347683236615,0.2586802729009519
29,0.7845071229671697,0.003461898257680554,0.03845486156296049,0.2745696687018311
30,0.7888270596284627,0.003392498371211259,0.037576348615993974,0.2675153542100036
31,0.7768218065659513,0.003585363050695723,0.03938190645148925,0.29136142743365545
32,0.7947803217855117,0.003296859071329138,0.03605610208659231,0.2604838122912
33,0.794943225807248,0.0032942420142979124,0.03601400184543371,0.2609864488340314
34,0.795351350846448,0.003287685475717255,0.036671983100415695,0.2660030949470877
35,0.7225507248611601,0.0044572292848990575,0.04891808050917847,0.3801018402378208
36,0.7294994707939386,0.004345597514192845,0.04822269970182066,0.3672018303086115
37,0.764716719317273,0.003779831568784543,0.04567739958933853,0.3591254891373673
