n_points,r2,mse,mae,mape
11,0.6757654406718084,0.0052088360017908215,0.05407279175916889,0.35097900054188297
12,0.6133977123571164,0.006210775058714882,0.05625886689496426,0.32746369419046717
13,0.5654246763068855,0.006981463037847663,0.060032405993300036,0.34331560229688773
14,0.7566497221705156,0.003909428072166038,0.04012646643734636,0.23288922815555385
15,0.7081136327579718,0.004689161517120296,0.04245626247193747,0.2331951539208596
16,0.6826428378644265,0.005098350450313061,0.04358626719649524,0.23098522428408066
17,0.668778512225385,0.005321081175498011,0.043503309262153934,0.23032666288176623
18,0.6266200685733744,0.005998357587762831,0.046371279049370565,0.2367983021736153
19,0.6423954988162479,0.005744924921106083,0.045142294178200267,0.2333968577188139
20,0.6927037393687561,0.0049367218254224654,0.04016897947584504,0.19475410716480104
21,0.6673847010676228,0.00534347278530448,0.04041530631312367,0.19216072474712445
22,0.5627314197983483,0.007024730268499427,0.048123468657126106,0.22622393598235996
23,0.5528557600582534,0.0071833829799877605,0.04876059573563304,0.2319175606870981
24,0.5834957547227899,0.00669115072802177,0.04870664073816056,0.23704772726491247
25,0.761537739217409,0.0038309019606251227,0.04313791389524636,0.2701167777001936
26,0.7674196907025463,0.00373640826840412,0.04236491684188122,0.2626246478787733
27,0.7689676169469055,0.0037115407960210374,0.042054250765945454,0.2593466672935711
28,0.7689349108892581,0.0037120662196245646,0.04151692586117248,0.2533182380682974
29,0.761274935181451,0.003835123913789987,0.04495139158555234,0.29199262380305274
30,0.7637394482556172,0.0037955314519185555,0.04441512508268089,0.2858036368897261
31,0.7756751603753183,0.0036037839493545886,0.04307931044577361,0.27569309692408767
32,0.7914094078419611,0.0033510128849894892,0.0403077864734577,0.24904181050142615
33,0.7830719636658445,0.003484954126408851,0.04107598900772492,0.2506272622159521
34,0.7846073163663851,0.0034602886483099306,0.04085953652127379,0.24828770764918026
35,0.7873887057481839,0.003415605560927357,0.040443230616647736,0.24586326268738015
36,0.7933578833415992,0.003319710579176836,0.03903704525164216,0.23141694671234617
37,0.7946192709695139,0.0032994463565655585,0.038492191071537646,0.22637078131080374
38,0.7956060191281055,0.0032835942236411043,0.03850836024071823,0.22984111520670247
39,0.8002145417649195,0.0032095581965271443,0.03851143719232698,0.24242505610602927
40,0.7997755317655663,0.0032166109027362394,0.03826028725191892,0.24046527913942412
41,0.8068527485535757,0.0031029152446477148,0.03687441092693846,0.23711688559451316
42,0.8083093974947823,0.003079514144337345,0.037024503098205666,0.23485105365009526
43,0.8108391875076786,0.0030388730068736276,0.036321099860950966,0.22822369728674152
44,0.8110101603430273,0.003036126324157455,0.03573270642736794,0.22110455841238907
45,0.8094793562113045,0.0030607187293888055,0.03589252853478782,0.21985904990107827
46,0.8127499689716293,0.0030081762566518,0.035349429350700096,0.2187192921808209
47,0.7823142802190141,0.003497126329223964,0.03679898840689248,0.20394688291593688
48,0.7964759893690048,0.0032696181307758894,0.03501454811289045,0.2022736249379795
49,0.7975829848270826,0.0032518342220901465,0.034526001859745886,0.19880295621160105
50,0.797542271149305,0.0032524882883038543,0.03452002116509907,0.1985134234183268
51,0.8025300359576755,0.003172359726573309,0.03408064463220846,0.19262409020622231
52,0.8030811664852056,0.003163505801379668,0.0339103081973615,0.1922547968565064
53,0.8035672488749255,0.0031556968760860296,0.03434740827038672,0.1935782417844664
54,0.8032258912339552,0.003161180794806652,0.034352563667830946,0.19395753091077483
55,0.8025613132579603,0.003171857255991209,0.034345567884154174,0.19417033621757343
56,0.8031643867813447,0.003162168865318603,0.03412679859099537,0.19605957757800183
57,0.8062740779827863,0.003112211601299361,0.033911411459127676,0.19649960674234299
58,0.8052314514737062,0.0031289614212697265,0.03399473701635981,0.19789049782446888
59,0.8028740232144462,0.003166833563011543,0.03402437696132019,0.19375334198976868
60,0.8018060305494237,0.0031839908908878316,0.03409766478291764,0.19449342249590532
61,0.8041389078862873,0.003146513160305396,0.03388294950837615,0.19352082729281997
62,0.8048641279364096,0.003134862482739978,0.03378294191212886,0.19179551299283337
63,0.8053169550665955,0.0031275878039913976,0.033730122643794304,0.1905544414163139
64,0.8224519932477814,0.0028523130030721094,0.032817210756008075,0.18854527401247634
65,0.8187624664109832,0.002911585340533322,0.03333256571441798,0.19103959482283928
66,0.8052438011457141,0.0031287630234915907,0.033671953183741846,0.19025425697986925
67,0.805665190548073,0.0031219933925974402,0.03361406627905809,0.18897963892743627
68,-0.7278687933126184,0.02775825376426825,0.12012999080594347,0.6814965683550859
69,0.825012119002691,0.0028111845211825923,0.03225904813269883,0.18495824168424088
70,0.7982102901167896,0.0032417565475081705,0.03272963378291559,0.17849722076789643
71,0.7905672290246744,0.0033645425079652717,0.03315143226311301,0.18193690359845513
72,0.7896814179910612,0.003378773083546812,0.033239148838755755,0.18274222061850845
73,0.7806354604099807,0.0035240966098748954,0.0343668240710718,0.18813476795306608
74,0.7927949157745191,0.003328754666695832,0.033043533573814635,0.17691960788031388
75,0.7661297567364651,0.0037571310886253166,0.03726791162704434,0.20836279698817187
76,0.7654325823507684,0.003768331211916516,0.03782547026619572,0.21510059554910202
77,0.8014814787844302,0.0031892048228062725,0.033937444919223944,0.20290700329435782
78,0.7607844327379348,0.003843003847354277,0.037726616864176575,0.22256438855016694
79,0.8018919435459653,0.0031826106965299737,0.033807224184891654,0.2030780683139888
80,0.8141156962950985,0.0029862358143193882,0.03146867972963066,0.1801872556312944
81,0.8130799106297122,0.0030028757359711147,0.03166559980544775,0.18008145186528035
82,0.8147280253542585,0.002976398733241714,0.031147100050958724,0.17619634970532544
83,0.8158392782327181,0.0029585464289950377,0.03097219112075995,0.17573318812673475
84,0.8242297759653218,0.0028237528809134083,0.02988412446436884,0.16091121086398233
85,0.8226406661162898,0.0028492819688970845,0.030226133468308877,0.16295695121246692
86,0.8260321144786835,0.0027947982693036387,0.02996479212480798,0.16331116989208752
87,0.8274634813404805,0.0027718033262076683,0.029811176703841223,0.16168190429805607
88,0.8342008018988905,0.0026635681092309076,0.029061947905604638,0.15664795518054445
89,0.8385416580808305,0.002593832150158763,0.028901462684544316,0.15728790622470037
90,0.8404561501286066,0.0025630757893184476,0.027975402484065735,0.1482237715112683
91,0.8381627848234897,0.0025999187581595934,0.02814394328610949,0.15129574323740236
92,0.8368980518056129,0.002620236724541153,0.028303340549433696,0.15269074791504503
93,0.8390709033267388,0.002585329812541281,0.02757956833598548,0.14829444137015274
94,0.7861507282913878,0.003435493698575995,0.03352791005410812,0.18837410672886384
95,0.8394274433073767,0.002579601989168374,0.027469320606567586,0.1474110348607443
96,0.8424890783309176,0.002530416748804093,0.02731769830824752,0.15127350591800362
97,0.8417034769183772,0.0025430374544104816,0.027553725293665836,0.1522639812312122
98,0.8405534965210527,0.0025615119171801164,0.027583113303954302,0.15250087239069746
99,0.8410217810607356,0.00255398891477582,0.027545844555862814,0.15219500960698928
100,0.8406988263791435,0.002559177189510965,0.02768631123335552,0.15362689806103863
101,0.8403959895438295,0.0025640422705613007,0.02817476605517899,0.16122793857608703
102,0.8610794462535916,0.0022317620405496747,0.02638932645727562,0.15234005137465978
103,0.8622883294816756,0.0022123413023857593,0.026729266681072023,0.15984690324275538
104,0.8645453406988337,0.002176082362842923,0.02636306724491769,0.15737956417049673
105,0.8675469335395108,0.0021278617015919083,0.02607260770880633,0.15805378885449617
106,0.868396252697529,0.00211421736887037,0.025966068598994363,0.15670039343135084
107,0.8680767402199561,0.002119350344515073,0.02608836130001357,0.15803816185088415
108,0.8678975046089888,0.0021222297689204904,0.026089257143847112,0.15800364204425826
109,0.8678732061984145,0.0021226201234713685,0.026053724172166188,0.15756859802353676
110,0.8677281426169225,0.0021249505734005493,0.026058475311547515,0.15729287365829822
