n_points,r2,mse,mae,mape
15,0.5731652852564825,0.006857109968711583,0.06438816221088407,0.36350165862641165
20,0.6089354101731921,0.006282462050732804,0.06192623012236604,0.40428724284490875
25,0.6090919192008657,0.006279947729435159,0.061914309719242604,0.40419355794239
30,0.5915191749527162,0.006562254288858312,0.06090252010323337,0.42303723273946775
35,0.5775266793967055,0.006787044066845154,0.06545367215726822,0.5059110399808384
40,0.5863713885739195,0.006644953600970391,0.0647159498625787,0.49397763972950287
45,0.5865480595930297,0.006642115376794902,0.06470155522385802,0.4938964134341219
50,0.6594412495708029,0.0054710845248452785,0.056056220025245435,0.3829528876813076
55,0.6600729314107352,0.005460936540878566,0.055957159350337855,0.38156563347116035
60,0.6599921581076833,0.00546223416593677,0.05597146871449689,0.38178510986767583
