n_points,r2,mse,mae,mape
11,0.6465463399381137,0.0056782415585487815,0.05948471682181865,0.42205653982441094
12,0.6856420215884512,0.005050168491579068,0.048205182599324416,0.2912157467705613
13,0.5444615658580099,0.00731823591191102,0.06413207730600376,0.44541381025868065
14,0.5838543344549183,0.006685390135992059,0.05898112378495796,0.4038593172935724
15,0.6930162972457914,0.004931700575602834,0.04636861323555754,0.24484403574375788
16,0.7523564283419911,0.003978399940885464,0.04306389500041699,0.25711956617258663
17,0.7739432222686842,0.003631607576735336,0.0432187057654704,0.28146013961902844
18,0.7519155001817214,0.003985483462395864,0.0458902496056811,0.28628011916735885
19,0.7022752180501829,0.004782955789965016,0.047417256937142015,0.2905942554546035
20,0.6955988172480461,0.004890212329590562,0.04813810632848151,0.28738825389650813
21,0.7141373627198626,0.00459239015025683,0.04535417741032963,0.26331395082405645
22,0.7079970826474059,0.004691033897452566,0.04387507336546915,0.23604565626204277
23,0.7360366295295102,0.0042405779017190256,0.04319475516011565,0.2535335799099191
24,0.7725646868191767,0.00365375378192092,0.04102651353037172,0.25840755485722394
25,0.7942820154371568,0.003304864374812548,0.04462273401289308,0.3426895741061741
26,0.8259905104668146,0.00279546663875596,0.03767504299045234,0.2649950653456012
27,0.7902531412787484,0.0033695883351654646,0.03992743114693282,0.2469449016430065
28,0.8203153922200697,0.0028866375500225263,0.03669135200136531,0.2458121449460779
29,0.816093073629535,0.0029544691998348647,0.03726947790020893,0.24789309046878388
30,0.8546129068477271,0.0023356471517915374,0.03261605795512822,0.21647078234460618
31,0.8343260647645804,0.0026615557582778046,0.03330068630624802,0.20882591506926068
32,0.8442658055664296,0.00250187358298959,0.03322145605003943,0.21001652759009462
33,0.8527399707005759,0.0023657359160878244,0.03194338976080382,0.19289459099276943
34,0.863767369575848,0.002188580487663911,0.03100320543500499,0.19699776390575285
35,0.8471682598261339,0.002455245585428738,0.03412700584650032,0.22291431298770123
36,0.8322290430475615,0.002695244462649039,0.037330292082599706,0.25525679719883904
37,0.8418330727248458,0.0025409554946594502,0.032577870499236904,0.19848434274121157
38,0.8359311227653274,0.0026357704628528623,0.0330896343621639,0.2030106523514298
39,0.8270247915394655,0.0027788508884227514,0.03422142689101184,0.2181269334576693
40,0.8393425613938029,0.0025809656191535294,0.033753403318380386,0.2270162197769679
41,0.7785320677508144,0.003557887663585113,0.03983141059767418,0.26797870096426357
42,0.8458224001857122,0.002476866852954663,0.033476490236250364,0.23215362524494454
43,0.8662002576375543,0.0021494960823790453,0.029751658367136904,0.19433125609622054
44,0.8550831393493381,0.002328092855331966,0.03197201420817065,0.22243679929602203
45,0.8614512809978037,0.0022257885064317145,0.030155975251212587,0.19794226133572845
46,0.860304481635382,0.0022442118657990486,0.029978503088252176,0.19529439981594343
47,0.8523873633332646,0.002371400561932961,0.0314147313230875,0.2129748589752275
48,0.8654084317400059,0.0021622167844869457,0.027478833630845283,0.14566678481020728
49,0.835053487842021,0.00264986968902548,0.029843448857846774,0.1528274461694704
50,0.8373984270640238,0.0026121981839678835,0.02958901099767817,0.15448650781659592
51,0.8432969954712451,0.0025174375404935366,0.028640806251103372,0.149232630016821
52,0.84772438805229,0.0024463113720863457,0.028605070853830385,0.15402304941801523
53,0.8508264152804824,0.002396477229981869,0.028391090789035758,0.15576137812452975
54,0.8483336305597774,0.0024365238765356044,0.028496468435246513,0.1543891135702751
55,0.8364492391958173,0.0026274469099230114,0.028799896533949904,0.15210840469020184
56,0.8378369733283446,0.0026051529276732476,0.028613959266748642,0.15477994768443942
57,0.840052035688115,0.002569567897534295,0.028429529002538017,0.15444797752488157
58,0.8385950312673871,0.002592974708631733,0.029230154288799798,0.15906242213485314
59,0.8410395453389394,0.002553703531218786,0.02887884200281207,0.15955102243623914
60,0.8419901349111559,0.002538432286854991,0.02869322103492809,0.1570300474080191
61,0.8390219593752842,0.00258611609829976,0.027867857722232887,0.14580651679253565
62,0.8429193423413194,0.0025235045471180694,0.027728860386832793,0.14540380165214906
63,0.8458949216276834,0.0024757017942433905,0.027059571811636846,0.1418158542508822
64,0.8467815888245761,0.0024614574643781494,0.027118728922492712,0.14308070986595411
65,0.8471248548183063,0.0024559428879244952,0.026969572424327303,0.1412426202268332
66,0.8477655825888554,0.002445649580864636,0.026834833740103477,0.14009367345256654
67,0.856988552050258,0.002297482354417487,0.02631791801312588,0.14122771529540243
68,0.8536177220004859,0.002351634820322267,0.026370732736532104,0.14029246829859146
69,0.8532606635066908,0.00235737097362153,0.02595906621310011,0.13715948084053098
70,0.905106553786191,0.0015244654980537489,0.022246300683042376,0.13630668334113663
71,0.9089341074855788,0.0014629757557219369,0.02177236670925783,0.13581922144678057
72,0.9121210259371597,0.0014117778340699044,0.021016758019633038,0.1307671035474973
73,0.9127424665771505,0.0014017943752268156,0.020467790787809206,0.12481660693113593
74,0.9122800022603477,0.001409223875610419,0.020585293976038845,0.12722802108053904
75,0.9122194231128329,0.0014101970810737315,0.02062497316568018,0.1273272141194417
76,0.9123206751694496,0.001408570464346467,0.020504129519518705,0.12526529293996858
77,0.9129721668755937,0.0013981042344021247,0.020395160345700273,0.12539995174890597
78,0.9134340964111097,0.001390683325292769,0.020175565722204206,0.12227556718656332
79,0.9140727127770147,0.0013804239379993498,0.020007199775564085,0.12082003558630741
80,0.9138062548887602,0.0013847045903893271,0.019740251824937917,0.11742265272128742
81,0.9136108945146092,0.0013878430595035073,0.019825353897090763,0.11852592675759835
82,0.9139361628437452,0.0013826176159648631,0.01952408209512709,0.11278378528898
83,0.9131144975042196,0.0013958176894265362,0.01965754088286235,0.11325427308093852
84,0.913642295290374,0.0013873386052848486,0.0194672898166841,0.11122154565622194
85,0.913279632834832,0.0013931647863644934,0.019642584897942912,0.11291989304527211
86,0.9136483571816314,0.0013872412208558536,0.019777690150534936,0.11397848312960701
87,0.9134533048728913,0.0013903747408917889,0.019829033631016634,0.11478727115098665
88,0.9121111922799184,0.0014119358120102384,0.020730290824603752,0.13023090858230915
89,0.9132159130932986,0.0013941884455463253,0.02068197567098041,0.1312829788818596
90,0.9170167349005909,0.0013331281517046194,0.019467087066627302,0.11615380048525194
91,0.9171972565445032,0.0013302280671489784,0.019457910529918476,0.11741457203758669
92,0.9174025790963477,0.001326929555410307,0.019427736357018974,0.11728323418392665
93,0.9164224249239514,0.0013426757557877785,0.019400762534531577,0.1155089082249826
94,0.9168987349890607,0.001335023823124287,0.019262387119842125,0.11418451370142227
95,0.9177814466877395,0.0013208430384330824,0.0190363491475943,0.1129799118488184
96,0.9177374762026448,0.0013215494253347522,0.018996662943417283,0.11251530161543727
97,0.9184696757712653,0.0013097866216366253,0.0187951592709071,0.11200811703107356
98,0.92186126496181,0.0012553006596355426,0.01817320497273813,0.10932677714865799
99,0.9193500851290516,0.0012956428241072907,0.018608514934575836,0.10955654671558185
100,0.9193088463764784,0.001296305325660232,0.018520640282222604,0.10903912109238023
101,0.9192915330236369,0.0012965834650904631,0.018552574919297557,0.10896630002307509
102,0.9214761691038315,0.00126148723386543,0.018458481366135097,0.11543318465352147
103,0.9283015450700516,0.001151837404642201,0.017734111641350445,0.10488439773068198
104,0.9259077053944121,0.0011902944966647848,0.018280297968011037,0.10843172992108921
105,0.9267343694098427,0.001177014119354353,0.017825991750462265,0.10418907336123683
106,0.9312277259643614,0.0011048282381251745,0.017226483565081458,0.10286219123131632
107,0.9271323470799838,0.0011706205985019332,0.018563580006998683,0.11258042677757234
