n_points,r2,mse,mae,mape
15,0.6408413937372928,0.00576989165661571,0.0592259959399347,0.43645377485657755
20,0.7329971416599597,0.004289407347521242,0.044376768691977875,0.2772141062617633
25,0.8078093421179162,0.0030875475460058967,0.03546727211319512,0.22862720761343142
30,0.804447532363624,0.003141555100646622,0.03544786885072601,0.23365276278430477
35,0.8256786029507966,0.0028004774405101887,0.031310259041667246,0.19255176249483366
40,0.8387913530202706,0.00258982079494507,0.030762919170000624,0.1955271936722011
45,0.8456894944441244,0.002479001986893075,0.030250503443358556,0.19158859185253277
50,-3.032709091484418,0.06478556864510891,0.12555001506077598,0.685114184736735
55,-0.2672120815170147,0.020357792598625662,0.0799853441299242,0.5020711305879892
60,0.44025261069193344,0.008992355285560614,0.07243907334705782,0.517740269599269
65,-1.8150997732398788,0.045224645632678265,0.09979812560955052,0.7904494232623274
70,0.433293515141021,0.009104153323131322,0.07261054615165496,0.5190053208975186
75,0.4023328132024895,0.009601537745175304,0.07281091947452635,0.5155012383955884
80,0.4007932989811347,0.009626270078206297,0.07258431798836651,0.5115943295504937
85,0.39844389461514884,0.009664013315909482,0.07299347805352516,0.5210811288466138
